Drug_A;Drug_B;Level
Budesonide;Berotralstat;Moderate
Budesonide;Bifidobacterium longum infantis;Moderate
Budesonide;Boceprevir;Major
Bromfenac;Budesonide;Moderate
Budesonide;Calaspargase pegol;Moderate
Budesonide;Canakinumab;Moderate
Budesonide;Candida albicans;Moderate
Captopril;Budesonide;Moderate
Carteolol;Budesonide;Moderate
Carvedilol;Budesonide;Moderate
Celecoxib;Budesonide;Moderate
Budesonide;Cemiplimab;Moderate
Budesonide;Ceritinib;Major
Budesonide;Certolizumab pegol;Major
Chloramphenicol;Budesonide;Moderate
Budesonide;Vibrio cholerae CVD 103-HgR strain live antigen;Moderate
Budesonide;Vibrio cholerae CVD 103-HgR strain live antigen (live);Moderate
Budesonide;Cholestyramine;Moderate
Budesonide;Choline salicylate;Moderate
Ciprofloxacin;Budesonide;Moderate
Cladribine;Budesonide;Major
Clarithromycin;Budesonide;Major
Budesonide;Clevidipine;Moderate
Clonidine;Budesonide;Moderate
Clotrimazole;Budesonide;Moderate
Budesonide;Cobicistat;Major
Budesonide;Coccidioides immitis spherule;Moderate
Colesevelam;Budesonide;Moderate
Colestipol;Budesonide;Moderate
Conivaptan;Budesonide;Major
Conjugated estrogens (topical);Budesonide;Moderate
Budesonide;Crizotinib;Moderate
Cyclosporine;Budesonide;Moderate
Budesonide;Danazol;Moderate
Budesonide;Darunavir;Moderate
Budesonide;Dasatinib;Moderate
Delavirdine;Budesonide;Major
Budesonide;Denosumab;Moderate
Deserpidine;Budesonide;Moderate
Desmopressin;Budesonide;Major
Diazoxide;Budesonide;Moderate
Diclofenac;Budesonide;Moderate
Dicoumarol;Budesonide;Moderate
Dienestrol (topical);Budesonide;Moderate
Diethylstilbestrol;Budesonide;Moderate
Diflunisal;Budesonide;Moderate
Diltiazem;Budesonide;Moderate
Budesonide;Dimethyl fumarate;Moderate
Budesonide;Dinutuximab;Major
Budesonide;Diroximel fumarate;Moderate
Disopyramide;Budesonide;Moderate
Doxazosin;Budesonide;Moderate
Budesonide;Dronedarone;Moderate
Budesonide;Durvalumab;Moderate
Budesonide;Duvelisib;Moderate
Budesonide;Echinacea;Minor
Edrophonium;Budesonide;Moderate
Efalizumab;Budesonide;Moderate
Enalapril;Budesonide;Moderate
Budesonide;Entrectinib;Moderate
Eplerenone;Budesonide;Moderate
Eprosartan;Budesonide;Moderate
Erythromycin;Budesonide;Moderate
Budesonide;Esterified estrogens;Moderate
Estradiol (topical);Budesonide;Moderate
Estramustine;Budesonide;Moderate
Estrone;Budesonide;Moderate
Budesonide;Estrone sulfate;Moderate
Budesonide;Estrone sulfate (topical);Moderate
Etanercept;Budesonide;Major
Etodolac;Budesonide;Moderate
Budesonide;Fedratinib;Moderate
Felodipine;Budesonide;Moderate
Fenoldopam;Budesonide;Moderate
Fenoprofen;Budesonide;Moderate
Budesonide;Fingolimod;Major
Fluconazole;Budesonide;Moderate
Fluoxymesterone;Budesonide;Moderate
Flurbiprofen;Budesonide;Moderate
Budesonide;Gallium chloride Ga-67;Moderate
Budesonide;Glycerol phenylbutyrate;Moderate
Budesonide;Goldenseal;Moderate
Budesonide;Golimumab;Major
Grepafloxacin;Budesonide;Moderate
Guanabenz;Budesonide;Moderate
Guanadrel;Budesonide;Moderate
Guanethidine;Budesonide;Moderate
Guanfacine;Budesonide;Moderate
Budesonide;Hepatitis A Vaccine;Moderate
Budesonide;Hepatitis B Vaccine (Recombinant);Moderate
Budesonide;Human papillomavirus type 11 L1 capsid protein antigen;Moderate
Budesonide;Hyaluronidase;Minor
Budesonide;Hydralazine;Moderate
Budesonide;Idelalisib;Major
Imatinib;Budesonide;Moderate
Budesonide;Indacaterol;Minor
Indinavir;Budesonide;Major
Budesonide;Indium In-111 oxyquinoline;Moderate
Indomethacin;Budesonide;Moderate
Infliximab;Budesonide;Major
Budesonide;Influenza A virus A/California/7/2009 (H1N1)-like antigen (propiolactone inactivated);Moderate
Budesonide;Influenza A virus A/Vietnam/1194/2004 (H5N1) antigen (formaldehyde inactivated);Moderate
Insulin human (inhalation/ rapid acting);Budesonide;Moderate
Budesonide;Ipilimumab;Moderate
Irbesartan;Budesonide;Moderate
Budesonide;Isavuconazonium;Moderate
Isoetharine;Budesonide;Minor
Isoniazid;Budesonide;Moderate
Isoprenaline;Budesonide;Minor
Isradipine;Budesonide;Moderate
Itraconazole;Budesonide;Major
Budesonide;Ivacaftor;Moderate
Ketoconazole;Budesonide;Major
Ketoprofen;Budesonide;Moderate
Labetalol;Budesonide;Moderate
Budesonide;Lactobacillus acidophilus;Moderate
Budesonide;Lapatinib;Moderate
Budesonide;Larotrectinib;Moderate
Budesonide;Lefamulin;Moderate
Leflunomide;Budesonide;Major
Budesonide;Letermovir;Moderate
Budesonide;Levosalbutamol;Minor
Budesonide;Levamlodipine;Moderate
Budesonide;Licorice;Moderate
Lisinopril;Budesonide;Moderate
Budesonide;Lomitapide;Moderate
Budesonide;Lonafarnib;Major
Losartan;Budesonide;Moderate
Lyme disease vaccine (recombinant OspA);Budesonide;Moderate
Budesonide;Macimorelin;Moderate
Budesonide;Measles virus vaccine live attenuated;Moderate
Meclofenamic acid;Budesonide;Moderate
Mefenamic acid;Budesonide;Moderate
Meloxicam;Budesonide;Moderate
Budesonide;Meningococcal polysaccharide vaccine group C;Moderate
Orciprenaline;Budesonide;Minor
Methotrexate;Budesonide;Moderate
Methyldopa;Budesonide;Moderate
Budesonide;Methyltestosterone;Moderate
Metoprolol;Budesonide;Moderate
Miconazole;Budesonide;Moderate
Mifepristone;Budesonide;Major
Minoxidil;Budesonide;Moderate
Moexipril;Budesonide;Moderate
Budesonide;Monomethyl fumarate;Moderate
Budesonide;Mumps virus strain B level jeryl lynn live antigen;Moderate
Nabumetone;Budesonide;Moderate
Nadolol;Budesonide;Moderate
Naproxen;Budesonide;Moderate
Natalizumab;Budesonide;Major
Budesonide;Nebivolol;Moderate
Nefazodone;Budesonide;Major
Nelfinavir;Budesonide;Major
Budesonide;Neostigmine;Moderate
Nevirapine;Budesonide;Moderate
Nicardipine;Budesonide;Moderate
Budesonide;Nilotinib;Moderate
Nisoldipine;Budesonide;Moderate
Nitroprusside;Budesonide;Moderate
Budesonide;Nivolumab;Moderate
Budesonide;Ocrelizumab;Moderate
Olmesartan;Budesonide;Moderate
Budesonide;Omacetaxine mepesuccinate;Moderate
Budesonide;Osilodrostat;Moderate
Oxandrolone;Budesonide;Moderate
Oxaprozin;Budesonide;Moderate
Budesonide;Oxymetholone;Moderate
Budesonide;Ozanimod;Major
Budesonide;Pazopanib;Moderate
Pegaspargase;Budesonide;Moderate
Budesonide;Pembrolizumab;Moderate
Budesonide;Penbutolol;Moderate
Perindopril;Budesonide;Moderate
Budesonide;Pexidartinib;Moderate
Phenylbutazone;Budesonide;Moderate
Pindolol;Budesonide;Moderate
Budesonide;Pirbuterol;Minor
Piroxicam;Budesonide;Moderate
Budesonide;Pitolisant;Moderate
Budesonide;Poliovirus type 1 antigen (formaldehyde inactivated);Moderate
Budesonide;Posaconazole;Major
Prazosin;Budesonide;Moderate
Propranolol;Budesonide;Moderate
Pyridostigmine;Budesonide;Moderate
Quinapril;Budesonide;Moderate
Budesonide;Quinestrol;Moderate
Budesonide;Racepinephrine;Minor
Ramipril;Budesonide;Moderate
Ranolazine;Budesonide;Moderate
Reserpine;Budesonide;Moderate
Budesonide;Ribociclib;Moderate
Budesonide;Rilonacept;Moderate
Ritodrine;Budesonide;Minor
Ritonavir;Budesonide;Major
Rofecoxib;Budesonide;Moderate
Budesonide;Roflumilast;Moderate
Budesonide;Romosozumab;Moderate
Budesonide;Rotavirus vaccine;Moderate
Budesonide;Rubella virus vaccine;Moderate
Budesonide;Rucaparib;Moderate
Salmeterol;Budesonide;Minor
Budesonide;Salsalate;Moderate
Budesonide;Saquinavir;Major
Budesonide;Pfizer-BioNTech Covid-19 Vaccine;Moderate
Budesonide;Selpercatinib;Moderate
Budesonide;Siponimod;Major
Sirolimus;Budesonide;Moderate
Budesonide;Smallpox (Vaccinia) Vaccine/ Live;Major
Budesonide;Iodide I-123;Moderate
Budesonide;Iodide I-131;Moderate
Budesonide;Phenylbutyric acid;Moderate
Salicylic acid (sodium);Budesonide;Moderate
Budesonide;Somapacitan;Moderate
Budesonide;Somatrem;Moderate
Somatotropin;Budesonide;Moderate
Spironolactone;Budesonide;Moderate
Budesonide;Stanozolol;Moderate
Budesonide;Stiripentol;Moderate
Sulindac;Budesonide;Moderate
Tacrolimus;Budesonide;Moderate
Budesonide;Talimogene laherparepvec;Major
Budesonide;Telaprevir;Major
Budesonide;Telbivudine;Moderate
Telithromycin;Budesonide;Major
Telmisartan;Budesonide;Moderate
Budesonide;Temsirolimus;Moderate
Terazosin;Budesonide;Moderate
Terbutaline;Budesonide;Minor
Budesonide;Teriflunomide;Major
Testosterone (topical);Budesonide;Moderate
Theophylline;Budesonide;Moderate
Budesonide;Ticagrelor;Moderate
Timolol;Budesonide;Moderate
Budesonide;Tofacitinib;Major
Tolmetin;Budesonide;Moderate
Trandolapril;Budesonide;Moderate
Triamterene;Budesonide;Moderate
Budesonide;Trichophyton mentagrophytes;Moderate
Trimethaphan;Budesonide;Moderate
Budesonide;Troleandomycin;Major
Budesonide;Tuberculin purified protein derivative;Moderate
Budesonide;Tucatinib;Major
Budesonide;Typhoid vaccine (inactivated);Moderate
Budesonide;Typhoid vaccine (live);Moderate
Budesonide;Upadacitinib;Major
Budesonide;Ustekinumab;Moderate
Valdecoxib;Budesonide;Moderate
Valsartan;Budesonide;Moderate
Budesonide;Varicella Zoster Vaccine (Recombinant);Moderate
Verapamil;Budesonide;Moderate
Vigabatrin;Budesonide;Major
Vitamin E;Budesonide;Minor
Voriconazole;Budesonide;Major
Budesonide;Voxelotor;Moderate
Warfarin;Budesonide;Moderate
Budesonide;Yellow Fever Vaccine;Moderate
Zafirlukast;Budesonide;Moderate
Budesonide;Zinc acetate;Minor
Budesonide;Zinc chloride;Minor
Budesonide;Zinc gluconate;Minor
Budesonide;Zinc sulfate;Minor
Amprenavir;Budesonide (nasal);Moderate
Budesonide (nasal);Berotralstat;Moderate
Budesonide (nasal);Boceprevir;Moderate
Budesonide (nasal);Ceritinib;Moderate
Chloramphenicol;Budesonide (nasal);Moderate
Ciprofloxacin;Budesonide (nasal);Moderate
Clarithromycin;Budesonide (nasal);Moderate
Clotrimazole;Budesonide (nasal);Moderate
Budesonide (nasal);Cobicistat;Moderate
Conivaptan;Budesonide (nasal);Moderate
Budesonide (nasal);Crizotinib;Moderate
Cyclosporine;Budesonide (nasal);Moderate
Budesonide (nasal);Danazol;Moderate
Budesonide (nasal);Darunavir;Moderate
Budesonide (nasal);Dasatinib;Moderate
Delavirdine;Budesonide (nasal);Moderate
Diltiazem;Budesonide (nasal);Moderate
Budesonide (nasal);Dronedarone;Moderate
Budesonide (nasal);Duvelisib;Moderate
Budesonide (nasal);Entrectinib;Moderate
Erythromycin;Budesonide (nasal);Moderate
Budesonide (nasal);Esketamine;Moderate
Budesonide (nasal);Fedratinib;Moderate
Fluconazole;Budesonide (nasal);Moderate
Budesonide (nasal);Goldenseal;Moderate
Grepafloxacin;Budesonide (nasal);Moderate
Budesonide (nasal);Idelalisib;Moderate
Imatinib;Budesonide (nasal);Moderate
Indinavir;Budesonide (nasal);Moderate
Budesonide (nasal);Isavuconazonium;Moderate
Isoniazid;Budesonide (nasal);Moderate
Itraconazole;Budesonide (nasal);Moderate
Budesonide (nasal);Ivacaftor;Moderate
Ketoconazole;Budesonide (nasal);Moderate
Budesonide (nasal);Lapatinib;Moderate
Budesonide (nasal);Larotrectinib;Moderate
Budesonide (nasal);Letermovir;Moderate
Budesonide (nasal);Lomitapide;Moderate
Miconazole;Budesonide (nasal);Moderate
Mifepristone;Budesonide (nasal);Moderate
Nefazodone;Budesonide (nasal);Moderate
Nelfinavir;Budesonide (nasal);Moderate
Budesonide (nasal);Nilotinib;Moderate
Budesonide (nasal);Osilodrostat;Moderate
Budesonide (nasal);Pazopanib;Moderate
Budesonide (nasal);Posaconazole;Moderate
Ranolazine;Budesonide (nasal);Moderate
Budesonide (nasal);Ribociclib;Moderate
Ritonavir;Budesonide (nasal);Moderate
Budesonide (nasal);Rucaparib;Moderate
Budesonide (nasal);Saquinavir;Moderate
Budesonide (nasal);Selpercatinib;Moderate
Budesonide (nasal);Stiripentol;Moderate
Budesonide (nasal);Telaprevir;Moderate
Telithromycin;Budesonide (nasal);Moderate
Budesonide (nasal);Ticagrelor;Moderate
Budesonide (nasal);Troleandomycin;Moderate
Budesonide (nasal);Tucatinib;Moderate
Verapamil;Budesonide (nasal);Moderate
Voriconazole;Budesonide (nasal);Moderate
Budesonide (nasal);Voxelotor;Moderate
Zafirlukast;Budesonide (nasal);Moderate
Amoxapine;Formoterol;Moderate
Formoterol;Cilostazol;Moderate
Hydroxyzine;Formoterol;Moderate
Mesoridazine;Formoterol;Moderate
Olanzapine;Formoterol;Moderate
Formoterol;Pimozide;Moderate
Protriptyline;Formoterol;Moderate
Formoterol;Relugolix;Moderate
Risperidone;Formoterol;Moderate
Trifluoperazine;Formoterol;Moderate
Glycopyrronium;Ambenonium;Moderate
Amoxapine;Glycopyrronium;Moderate
Glycopyrronium;Arbutamine;Moderate
Azatadine;Glycopyrronium;Moderate
Glycopyrronium;Belladonna;Moderate
Buprenorphine;Glycopyrronium;Moderate
Butorphanol;Glycopyrronium;Moderate
Carbamoylcholine (ophthalmic);Glycopyrronium;Moderate
Carbinoxamine;Glycopyrronium;Moderate
Glycopyrronium;Cariprazine;Moderate
Cevimeline;Glycopyrronium;Moderate
Glycopyrronium;Chlorcyclizine;Moderate
Chlorpromazine;Glycopyrronium;Moderate
Cisapride;Glycopyrronium;Moderate
Clemastine;Glycopyrronium;Moderate
Clidinium;Glycopyrronium;Moderate
Glycopyrronium;Clomipramine;Moderate
Clozapine;Glycopyrronium;Moderate
Glycopyrronium;Cyclizine;Moderate
Cyclobenzaprine;Glycopyrronium;Moderate
Cyproheptadine;Glycopyrronium;Moderate
Darifenacin;Glycopyrronium;Moderate
Demecarium (ophthalmic);Glycopyrronium;Moderate
Glycopyrronium;Desipramine;Moderate
Dexbrompheniramine;Glycopyrronium;Moderate
Glycopyrronium;Dezocine;Moderate
Dicyclomine;Glycopyrronium;Moderate
Digoxin;Glycopyrronium;Minor
Dimenhydrinate;Glycopyrronium;Moderate
Glycopyrronium;Diphenhydramine;Moderate
Disopyramide;Glycopyrronium;Moderate
Donepezil;Glycopyrronium;Moderate
Glycopyrronium;Doxepin;Moderate
Glycopyrronium;Doxepin (topical);Moderate
Doxylamine;Glycopyrronium;Moderate
Glycopyrronium;Echothiophate (ophthalmic);Moderate
Glycopyrronium;Eluxadoline;Moderate
Glycopyrronium;Fesoterodine;Moderate
Glycopyrronium;Flavoxate;Moderate
Fluphenazine;Glycopyrronium;Moderate
Galantamine;Glycopyrronium;Moderate
Guanidine;Glycopyrronium;Moderate
Haloperidol;Glycopyrronium;Moderate
Hydrocodone;Glycopyrronium;Moderate
Hydromorphone;Glycopyrronium;Moderate
Glycopyrronium;Iloperidone;Moderate
Imipramine;Glycopyrronium;Moderate
Ipratropium;Glycopyrronium;Moderate
Ipratropium (nasal);Glycopyrronium;Minor
Isoflurophate (ophthalmic);Glycopyrronium;Moderate
Glycopyrronium;Levodopa;Moderate
Glycopyrronium;Levacetylmethadol;Moderate
Levorphanol;Glycopyrronium;Moderate
Loxapine;Glycopyrronium;Moderate
Glycopyrronium;Lumateperone;Moderate
Glycopyrronium;Lurasidone;Moderate
Meclizine;Glycopyrronium;Moderate
Glycopyrronium;Memantine;Moderate
Glycopyrronium;Mepenzolate;Moderate
Meperidine;Glycopyrronium;Moderate
Methadone;Glycopyrronium;Moderate
Methdilazine;Glycopyrronium;Moderate
Glycopyrronium;Methotrimeprazine;Moderate
Glycopyrronium;Methscopolamine;Moderate
Glycopyrronium;Metoclopramide;Moderate
Metoprolol;Glycopyrronium;Moderate
Glycopyrronium;Molindone;Moderate
Morphine (liposomal);Glycopyrronium;Moderate
Nalbuphine;Glycopyrronium;Moderate
Glycopyrronium;Nebivolol;Moderate
Glycopyrronium;Neostigmine;Moderate
Nitrofurantoin;Glycopyrronium;Minor
Nitroglycerin;Glycopyrronium;Minor
Nortriptyline;Glycopyrronium;Moderate
Olanzapine;Glycopyrronium;Moderate
Glycopyrronium;Oliceridine;Moderate
Glycopyrronium;Opium;Moderate
Glycopyrronium;Orphenadrine;Moderate
Glycopyrronium;Oxybutynin;Moderate
Oxycodone;Glycopyrronium;Moderate
Glycopyrronium;Oxymorphone;Moderate
Glycopyrronium;Paliperidone;Moderate
Pentazocine;Glycopyrronium;Moderate
Perphenazine;Glycopyrronium;Moderate
Glycopyrronium;Phenindamine;Moderate
Phenylephrine (ophthalmic);Glycopyrronium;Moderate
Physostigmine;Glycopyrronium;Moderate
Physostigmine (ophthalmic);Glycopyrronium;Moderate
Glycopyrronium;Pilocarpine;Moderate
Glycopyrronium;Pilocarpine (ophthalmic);Moderate
Glycopyrronium;Pimozide;Moderate
Potassium chloride;Glycopyrronium;Major
Glycopyrronium;Potassium citrate;Major
Glycopyrronium;Pramlintide;Moderate
Glycopyrronium;Procainamide;Moderate
Prochlorperazine;Glycopyrronium;Moderate
Procyclidine;Glycopyrronium;Moderate
Promazine;Glycopyrronium;Moderate
Glycopyrronium;Promethazine;Moderate
Propantheline;Glycopyrronium;Moderate
Propiomazine;Glycopyrronium;Moderate
Dextropropoxyphene;Glycopyrronium;Moderate
Protriptyline;Glycopyrronium;Moderate
Glycopyrronium;Prucalopride;Moderate
Pyridostigmine;Glycopyrronium;Moderate
Glycopyrronium;Mepyramine;Moderate
Glycopyrronium;Quetiapine;Moderate
Quinidine;Glycopyrronium;Moderate
Remifentanil;Glycopyrronium;Moderate
Glycopyrronium;Revefenacin;Moderate
Botulinum Toxin Type B;Glycopyrronium;Moderate
Risperidone;Glycopyrronium;Moderate
Glycopyrronium;Rivastigmine;Moderate
Scopolamine;Glycopyrronium;Moderate
Glycopyrronium;Secretin human;Minor
Glycopyrronium;Solifenacin;Moderate
Sufentanil;Glycopyrronium;Moderate
Tacrine;Glycopyrronium;Moderate
Glycopyrronium;Tapentadol;Moderate
Thiethylperazine;Glycopyrronium;Moderate
Thioridazine;Glycopyrronium;Moderate
Glycopyrronium;Thiothixene;Moderate
Glycopyrronium;Tiotropium;Moderate
Glycopyrronium;Tolterodine;Moderate
Topiramate;Glycopyrronium;Major
Trifluoperazine;Glycopyrronium;Moderate
Triflupromazine;Glycopyrronium;Moderate
Trihexyphenidyl;Glycopyrronium;Moderate
Glycopyrronium;Alimemazine;Moderate
Tripelennamine;Glycopyrronium;Moderate
Triprolidine;Glycopyrronium;Moderate
Trospium;Glycopyrronium;Moderate
Glycopyrronium;Umeclidinium;Moderate
Ziprasidone;Glycopyrronium;Moderate
Zonisamide;Glycopyrronium;Major
Bumetanide;Diphenhydramine;Moderate
Flurbiprofen;Bumetanide;Moderate
Bumetanide;Indacaterol;Moderate
Orciprenaline;Bumetanide;Moderate
Bumetanide;Methdilazine;Moderate
Bumetanide;Neomycin;Major
Bumetanide;Olodaterol;Moderate
Pentoxifylline;Bumetanide;Moderate
Bumetanide;Pirbuterol;Moderate
Prednisolone;Bumetanide;Moderate
Bumetanide;Promethazine;Moderate
Bumetanide;Mepyramine;Moderate
Bumetanide;Salmeterol;Moderate
Terbutaline;Bumetanide;Moderate
Thiethylperazine;Bumetanide;Moderate
Bumetanide;Alimemazine;Moderate
Bupivacaine;Cocaine (nasal);Moderate
Bupivacaine;Cocaine (topical);Moderate
Lidocaine (ophthalmic);Bupivacaine;Moderate
Astemizole;Buprenorphine;Moderate
Azatadine;Buprenorphine;Moderate
Buprenorphine;Pentoxyverine;Moderate
Carbinoxamine;Buprenorphine;Moderate
Buprenorphine;Clofedanol;Moderate
Buprenorphine;Chlorcyclizine;Moderate
Clemastine;Buprenorphine;Moderate
Buprenorphine;Cyclizine;Moderate
Cyproheptadine;Buprenorphine;Moderate
Dexbrompheniramine;Buprenorphine;Moderate
Buprenorphine;Diphenhydramine;Moderate
Doxylamine;Buprenorphine;Moderate
Buprenorphine;Indacaterol;Moderate
Buprenorphine;Isoprenaline;Moderate
Buprenorphine;Ivacaftor;Moderate
Buprenorphine;Levocetirizine;Moderate
Meclizine;Buprenorphine;Moderate
Orciprenaline;Buprenorphine;Moderate
Methdilazine;Buprenorphine;Moderate
Buprenorphine;Olodaterol;Moderate
Olopatadine (nasal);Buprenorphine;Moderate
Buprenorphine;Phenindamine;Moderate
Buprenorphine;Pirbuterol;Moderate
Buprenorphine;Promethazine;Moderate
Buprenorphine;Mepyramine;Moderate
Buprenorphine;Salmeterol;Moderate
Terbutaline;Buprenorphine;Moderate
Terfenadine;Buprenorphine;Moderate
Thiethylperazine;Buprenorphine;Moderate
Buprenorphine;Alimemazine;Moderate
Trimethobenzamide;Buprenorphine;Moderate
Tripelennamine;Buprenorphine;Moderate
Triprolidine;Buprenorphine;Moderate
Zafirlukast;Buprenorphine;Moderate
Buspirone;Azatadine;Moderate
Buspirone;Pentoxyverine;Moderate
Buspirone;Carbinoxamine;Moderate
Buspirone;Clofedanol;Moderate
Clemastine;Buspirone;Moderate
Buspirone;Cyclizine;Moderate
Cyproheptadine;Buspirone;Moderate
Dexbrompheniramine;Buspirone;Moderate
Buspirone;Diphenhydramine;Moderate
Doxylamine;Buspirone;Moderate
Buspirone;Ivacaftor;Moderate
Buspirone;Levocetirizine;Moderate
Buspirone;Meclizine;Moderate
Buspirone;Methdilazine;Moderate
Buspirone;Olopatadine (nasal);Moderate
Buspirone;Phenindamine;Moderate
Buspirone;Promethazine;Moderate
Buspirone;Mepyramine;Moderate
Thiethylperazine;Buspirone;Moderate
Buspirone;Alimemazine;Moderate
Buspirone;Trimethobenzamide;Moderate
Buspirone;Tripelennamine;Moderate
Triprolidine;Buspirone;Moderate
Busulfan;Ivacaftor;Moderate
Busulfan;Mercaptopurine;Moderate
Busulfan;Roflumilast;Moderate
Butalbital;Azatadine;Moderate
Butalbital;Pentoxyverine;Moderate
Butalbital;Carbinoxamine;Moderate
Butalbital;Clofedanol;Moderate
Butalbital;Dexbrompheniramine;Moderate
Butalbital;Doxylamine;Moderate
Caffeine;Echinacea;Moderate
Caffeine;Givosiran;Moderate
Butalbital;Ivacaftor;Moderate
Butalbital;Levocetirizine;Moderate
Butalbital;Montelukast;Moderate
Butalbital;Olopatadine (nasal);Moderate
Butalbital;Oxtriphylline;Moderate
Butalbital;Promethazine;Moderate
Butalbital;Mepyramine;Moderate
Caffeine;Ropinirole;Moderate
Caffeine;Rucaparib;Moderate
Butalbital;Thiethylperazine;Moderate
Caffeine;Vemurafenib;Moderate
Butorphanol;Azatadine;Moderate
Butorphanol;Pentoxyverine;Moderate
Butorphanol;Carbinoxamine;Moderate
Butorphanol;Clofedanol;Moderate
Butorphanol;Chlorcyclizine;Moderate
Clemastine;Butorphanol;Moderate
Butorphanol;Cyclizine;Moderate
Cyproheptadine;Butorphanol;Moderate
Dexbrompheniramine;Butorphanol;Moderate
Butorphanol;Diphenhydramine;Moderate
Doxylamine;Butorphanol;Moderate
Butorphanol;Levocetirizine;Moderate
Butorphanol;Meclizine;Moderate
Butorphanol;Methdilazine;Moderate
Butorphanol;Olopatadine (nasal);Moderate
Butorphanol;Phenindamine;Moderate
Butorphanol;Promethazine;Moderate
Butorphanol;Mepyramine;Moderate
Thiethylperazine;Butorphanol;Moderate
Butorphanol;Alimemazine;Moderate
Butorphanol;Trimethobenzamide;Moderate
Butorphanol;Tripelennamine;Moderate
Triprolidine;Butorphanol;Moderate
Cabazitaxel;Ivacaftor;Moderate
Roflumilast;Cabazitaxel;Moderate
Zafirlukast;Cabazitaxel;Moderate
Cabergoline;Methdilazine;Moderate
Cabergoline;Promethazine;Moderate
Cabergoline;Thiethylperazine;Moderate
Cabergoline;Alimemazine;Moderate
Astemizole;Cabozantinib;Major
Fexofenadine;Cabozantinib;Moderate
Flurbiprofen;Cabozantinib;Major
Flurbiprofen (ophthalmic);Cabozantinib;Moderate
Indacaterol;Cabozantinib;Moderate
Isoprenaline;Cabozantinib;Major
Orciprenaline;Cabozantinib;Major
Cabozantinib;Olodaterol;Moderate
Pirbuterol;Cabozantinib;Moderate
Promethazine;Cabozantinib;Major
Salmeterol;Cabozantinib;Moderate
Terbutaline;Cabozantinib;Major
Terfenadine;Cabozantinib;Major
Alimemazine;Cabozantinib;Major
Caffeine;Cimetidine;Minor
Caffeine;Clozapine;Minor
Caffeine;Deferasirox;Moderate
Caffeine;Diazepam;Minor
Caffeine;Methotrexate;Moderate
Caffeine;Ramelteon;Moderate
Caffeine;Terbinafine;Minor
Caffeine;Teriflunomide;Moderate
Flurbiprofen;Calaspargase pegol;Moderate
Ivacaftor;Calaspargase pegol;Moderate
Mercaptopurine;Calaspargase pegol;Moderate
Prednisolone;Calaspargase pegol;Moderate
Zafirlukast;Calaspargase pegol;Moderate
Diclofenac;Flurbiprofen;Moderate
Diclofenac;Ivacaftor;Moderate
Diclofenac;Pentoxifylline;Moderate
Diclofenac;Potassium Iodide;Moderate
Diclofenac;Prednisolone;Moderate
Diclofenac;Triamcinolone (ophthalmic);Moderate
Dexamethasone (ophthalmic);Canagliflozin;Minor
Dexamethasone (topical);Canagliflozin;Minor
Ephedrine;Canagliflozin;Moderate
Canagliflozin;Fluticasone (topical);Minor
Indacaterol;Canagliflozin;Moderate
Isoprenaline;Canagliflozin;Moderate
Mannitol;Canagliflozin;Moderate
Orciprenaline;Canagliflozin;Moderate
Methdilazine;Canagliflozin;Moderate
Canagliflozin;Olodaterol;Moderate
Phenylpropanolamine;Canagliflozin;Moderate
Prednisolone;Canagliflozin;Moderate
Promethazine;Canagliflozin;Moderate
Salmeterol;Canagliflozin;Moderate
Terbutaline;Canagliflozin;Moderate
Thiethylperazine;Canagliflozin;Moderate
Triamcinolone (ophthalmic);Canagliflozin;Moderate
Triamcinolone (topical);Canagliflozin;Minor
Alimemazine;Canagliflozin;Moderate
Aminophylline;Canakinumab;Moderate
Hydrocodone;Canakinumab;Moderate
Mercaptopurine;Canakinumab;Moderate
Oxtriphylline;Canakinumab;Moderate
Prednisolone;Canakinumab;Moderate
Roflumilast;Canakinumab;Moderate
Theophylline;Canakinumab;Moderate
Triamcinolone (ophthalmic);Canakinumab;Moderate
Flurbiprofen;Cangrelor;Moderate
Flurbiprofen (ophthalmic);Cangrelor;Moderate
Pentoxifylline;Cangrelor;Moderate
Aminophylline;Cannabidiol;Moderate
Azatadine;Cannabidiol;Moderate
Cannabidiol;Pentoxyverine;Moderate
Carbinoxamine;Cannabidiol;Moderate
Clofedanol;Cannabidiol;Moderate
Chlorcyclizine;Cannabidiol;Moderate
Clemastine;Cannabidiol;Moderate
Cyclizine;Cannabidiol;Moderate
Cyproheptadine;Cannabidiol;Moderate
Dexbrompheniramine;Cannabidiol;Moderate
Diphenhydramine;Cannabidiol;Moderate
Doxylamine;Cannabidiol;Moderate
Flurbiprofen;Cannabidiol;Moderate
Hydrocodone;Cannabidiol;Moderate
Ivacaftor;Cannabidiol;Moderate
Levocetirizine;Cannabidiol;Moderate
Meclizine;Cannabidiol;Moderate
Mercaptopurine;Cannabidiol;Moderate
Methdilazine;Cannabidiol;Moderate
Olopatadine (nasal);Cannabidiol;Moderate
Oxtriphylline;Cannabidiol;Moderate
Phenindamine;Cannabidiol;Moderate
Promethazine;Cannabidiol;Moderate
Mepyramine;Cannabidiol;Moderate
Theophylline;Cannabidiol;Moderate
Thiethylperazine;Cannabidiol;Moderate
Alimemazine;Cannabidiol;Moderate
Trimethobenzamide;Cannabidiol;Moderate
Tripelennamine;Cannabidiol;Moderate
